locality,locality_detail,bhk,price_lakh,area_sqft,price_per_sqft
Prahlad Nagar,Prahlad Nagar,4.0,271.0,1828.0,7200.0
Prahlad Nagar,Prahlad Nagar,4.0,400.0,4015.0,9963.0
Prahlad Nagar,Prahlad Nagar,4.0,285.0,2651.0,10751.0
Prahlad Nagar,Prahlad Nagar,4.0,271.0,2035.0,7200.0
Prahlad Nagar,Prahlad Nagar,4.0,271.0,1828.0,7200.0
Prahlad Nagar,Prahlad Nagar,4.0,272.0,3777.0,7201.0
Prahlad Nagar,Prahlad Nagar,4.0,240.0,3150.0,7619.0
Prahlad Nagar,Prahlad Nagar,4.0,278.0,2335.0,7400.0
Prahlad Nagar,Prahlad Nagar,4.0,271.0,2075.0,7200.0
Prahlad Nagar,Prahlad Nagar,3.0,200.0,1519.0,9877.0
Prahlad Nagar,Prahlad Nagar,5.0,266.0,3550.0,7493.0
Prahlad Nagar,Prahlad Nagar,3.0,150.0,1193.0,8798.0
Prahlad Nagar,Prahlad Nagar,2.0,95.0,862.0,7600.0
Prahlad Nagar,Prahlad Nagar,4.0,271.0,1940.0,7200.0
Prahlad Nagar,Prahlad Nagar,3.0,155.0,1100.0,8031.0
Prahlad Nagar,Prahlad Nagar,2.0,77.0,800.0,5923.0
Prahlad Nagar,Prahlad Nagar,3.0,215.0,2133.0,10165.0
Prahlad Nagar,Prahlad Nagar,3.0,155.0,204.0,8442.0
Prahlad Nagar,Prahlad Nagar,3.0,135.0,1300.0,6585.0
Prahlad Nagar,Prahlad Nagar,4.0,255.0,1650.0,9273.0
Prahlad Nagar,Prahlad Nagar,3.0,160.0,1710.0,9357.0
Prahlad Nagar,Prahlad Nagar,4.0,271.0,2075.0,7200.0
Prahlad Nagar,Prahlad Nagar,4.0,320.0,2394.0,9357.0
Prahlad Nagar,Prahlad Nagar,4.0,271.0,1981.0,7200.0
Prahlad Nagar,Prahlad Nagar,3.0,125.0,1282.0,6823.0
Prahlad Nagar,Prahlad Nagar,3.0,135.0,1298.0,6238.0
Prahlad Nagar,Prahlad Nagar,4.0,269.0,2201.0,7912.0
Prahlad Nagar,Prahlad Nagar,3.0,185.0,1306.0,9204.0
Prahlad Nagar,Prahlad Nagar,4.0,271.0,1828.0,7200.0
Prahlad Nagar,Prahlad Nagar,3.0,205.0,1436.0,8296.0
Prahlad Nagar,Prahlad Nagar,4.0,450.0,400.0,12500.0
Prahlad Nagar,Prahlad Nagar,3.0,165.0,1120.0,8296.0
Prahlad Nagar,Prahlad Nagar,4.0,205.0,2448.0,8374.0
Prahlad Nagar,Prahlad Nagar,3.0,150.0,1705.0,8798.0
Prahlad Nagar,Prahlad Nagar,3.0,190.0,1540.0,8636.0
Prahlad Nagar,Prahlad Nagar,3.0,110.0,1593.0,6905.0
Prahlad Nagar,Prahlad Nagar,3.0,110.0,1705.0,6452.0
Prahlad Nagar,Prahlad Nagar,3.0,150.0,1023.0,8798.0
Prahlad Nagar,Prahlad Nagar,2.0,75.8,1368.0,5541.0
Prahlad Nagar,Prahlad Nagar,3.0,155.0,2050.0,7561.0
Prahlad Nagar,Prahlad Nagar,3.0,175.0,1989.0,8798.0
Prahlad Nagar,Prahlad Nagar,3.0,170.0,2050.0,8293.0
Prahlad Nagar,Prahlad Nagar,2.0,75.0,750.0,6944.0
